week,volume,sets,prs,volume_4wk_avg,volume_8wk_avg,volume_quartile
2025-10-13/2025-10-19,62305.0,72,4.0,80308.75,61405.9375,High
2025-10-20/2025-10-26,53612.5,78,7.0,74755.625,62013.4375,Medium-High
2025-10-27/2025-11-02,62570.0,75,5.0,73009.375,65089.6875,High
2025-11-03/2025-11-09,56460.0,64,1.0,58736.875,64943.4375,Medium-High
2025-11-10/2025-11-16,76442.5,77,2.0,62271.25,71290.0,High
2025-11-17/2025-11-23,33640.0,47,1.0,57278.125,66016.875,medium-Low
2025-11-24/2025-11-30,22517.5,36,0.0,47265.0,60137.1875,medium-Low
2025-12-01/2025-12-07,32737.5,53,2.0,41334.375,50035.625,medium-Low
2025-12-08/2025-12-14,35987.5,50,1.0,31220.625,46745.9375,Medium-High
2025-12-15/2025-12-21,34715.0,50,3.0,31489.375,44383.75,Medium-High
2025-12-22/2025-12-28,21835.0,29,2.0,31318.75,39291.875,Low
2025-12-29/2026-01-04,22295.0,39,0.0,28708.125,35021.25,Low
2026-01-05/2026-01-11,46195.0,64,4.0,31260.0,31240.3125,Medium-High
2026-01-12/2026-01-18,66070.0,96,2.0,39098.75,35294.0625,High
2026-01-19/2026-01-25,48810.0,64,3.0,45842.5,38580.625,Medium-High
2026-01-26/2026-02-01,33745.0,55,0.0,48705.0,38706.5625,Medium-High
2026-02-02/2026-02-08,71532.5,91,2.0,55039.375,43149.6875,High
2026-02-09/2026-02-15,44902.5,66,4.0,49747.5,44423.125,Medium-High
